,importance,totalImp
mean AtomicWeight,0.06245460679451307,0.38605341785880376
mean Number,0.03796715578877951,0.3437942479170388
mean MeltingT,0.040387627917497226,0.27922670292011353
mean NdValence,0.05483655444766435,0.24842312817884482
mean Row,0.03406046157671601,0.23031789307891926
avg d valence electrons,0.05632472100322633,0.19500864905379695
mode MendeleevNumber,0.022638950752244723,0.16948152748379522
mode MeltingT,0.011639089167338525,0.16763237978082374
mean Electronegativity,0.0552695026549097,0.15234606885146146
mean CovalentRadius,0.02480194464953746,0.10101706959947468
maximum Electronegativity,0.026933579039399917,0.10047613118261721
mode Electronegativity,0.007687615827578244,0.09714930261110383
max ionic char,0.03165741567634457,0.09643117081435225
avg_dev Electronegativity,0.015652377933855786,0.0867032981750259
range NpValence,0.018152309037280105,0.08280719784146039
mean NUnfilled,0.021019076376968718,0.07881949395926295
avg p valence electrons,0.02554499725368103,0.07847565650833124
range Electronegativity,0.014334454882165457,0.07653380879042157
minimum MeltingT,0.012562800400244378,0.07446004925985901
mean NpValence,0.033688331687348694,0.0739115540624559
avg ionic char,0.019878302209711006,0.07285409756115888
mode CovalentRadius,0.013710364399717788,0.07037054394915568
avg_dev AtomicWeight,0.007966144616154462,0.06982168205718713
mean NValence,0.017293233643766375,0.06900120528400092
avg_dev Number,0.011908990072482695,0.06594794893948902
maximum MendeleevNumber,0.0022099941401083987,0.053597405052219035
range AtomicWeight,0.012559648721615602,0.05341197936286865
minimum CovalentRadius,0.0007198741858824736,0.05329823801913159
maximum NpValence,0.006477490231077398,0.05061005921495748
Yang omega,0.012520337245642695,0.04568236245470973
maximum Column,0.023828510696029367,0.04466808437935313
mean Column,0.006179792953130501,0.04458010790801495
mean NfValence,0.008951548626295148,0.0435552363989982
range Number,0.008595791262514548,0.04336664030921904
maximum Number,0.005160465633547281,0.041777676844740846
avg_dev NfValence,0.008761444757658199,0.04049771491899451
maximum AtomicWeight,0.009674991538466036,0.039604845410140824
mode Number,0.003879258465420246,0.03284575240324472
avg f valence electrons,0.007554289188527218,0.03272299422713292
mode Column,0.007768243987264758,0.029690398536013997
avg_dev Row,0.006110025363226841,0.028935287284577525
mode NpValence,0.006431174917160806,0.028375438951002106
avg_dev NdValence,0.007543106431672015,0.027558541192706777
avg_dev NValence,0.007043526519538252,0.026792174315630815
mode NpUnfilled,0.006853849617997502,0.02667473184268784
mean SpaceGroupNumber,0.013947668330421683,0.02555685046647491
mean NdUnfilled,0.0035379472401562096,0.024317630874250623
mode AtomicWeight,0.0012899811097461143,0.02349688275377345
range NfValence,0.006212485948171888,0.02183031193836154
maximum MeltingT,0.009319611504145611,0.021016238105454922
Yang delta,0.0015393191924635166,0.02060288575374766
mode GSvolume_pa,0.0038284368939473794,0.020517006823832052
minimum NValence,0.0016675644864670883,0.019252251470016947
maximum NValence,0.006771981463316031,0.01883024005703101
maximum NfValence,0.002152672209149758,0.01853701445990415
minimum Column,0.004301177024214912,0.017993403223785984
mode NValence,0.0036141167472058472,0.017283817306231703
range NValence,0.004533631155459963,0.015548557123908088
avg_dev NpUnfilled,0.004767132190766379,0.015112504803740292
avg_dev NdUnfilled,0.004089881203762687,0.01482134187362902
maximum GSvolume_pa,0.0033670880618339185,0.013836518418830991
range GSvolume_pa,0.00307750531480028,0.012137767007503922
maximum Row,0.005604172017940708,0.011728609824167095
