,importance,totalImp
mean Number,0.08363152051703965,0.3068239508063558
mean AtomicWeight,0.05447140498852546,0.2947264818503183
mean Row,0.07795089593596755,0.2734469745138271
mean NdValence,0.035878237892019944,0.2616781254212554
mean MeltingT,0.0722054202393256,0.22562940542726212
mode MendeleevNumber,0.06537211647753502,0.22056260663083624
avg d valence electrons,0.02639757866583627,0.2181524169379252
maximum Electronegativity,0.03140405574795173,0.15424311509990174
mean Electronegativity,0.014977812663044335,0.1412595070139942
minimum MeltingT,0.026803463892463825,0.11782248288289517
mode Electronegativity,0.01492619140502089,0.11778649663921531
mode MeltingT,0.01124193903350688,0.10445837508087344
mode CovalentRadius,0.0008382317183852195,0.09914181935955238
range Electronegativity,0.007645354293459683,0.09819740787125922
mean NpValence,0.026292650810159617,0.09431128164048277
mean CovalentRadius,0.029666781801091703,0.08871877880032032
avg p valence electrons,0.00797944931741713,0.08370240379791989
mean NUnfilled,0.0035068573472071085,0.0811747089225143
max ionic char,0.00173520366241565,0.07785624612610918
mean NValence,0.013415648694791917,0.07357185943716973
avg_dev Electronegativity,0.012893053168027427,0.06898461005338931
avg_dev AtomicWeight,0.019183133857176005,0.06330535979052337
avg_dev Number,0.013851092135429907,0.059320534840069064
maximum AtomicWeight,0.008231298669746132,0.056585676559762925
range NpValence,0.006585997802296274,0.056364367040350645
range AtomicWeight,0.012127557293933222,0.052642213100889165
mode NpValence,0.019480293702184133,0.0513753291443605
maximum NpValence,0.017433518327507287,0.051333917734831744
avg ionic char,0.009341317145963335,0.05050876241213259
range Number,0.011761926096097153,0.049714624347750126
maximum MendeleevNumber,0.0187847234000079,0.048786843202402744
Yang omega,0.017225615635257856,0.0466959315136189
maximum Column,0.01315348086167115,0.04571674227652884
maximum Number,0.0071397874318114615,0.04242509602731827
avg f valence electrons,0.00808294219855783,0.036579080411646835
minimum CovalentRadius,0.007807674095652849,0.03648267712367428
mean NfValence,0.008516802138691996,0.03414277178219384
avg_dev NfValence,0.004561285176013178,0.032959832746246615
mean SpaceGroupNumber,0.0010247582698542901,0.0319453090465438
avg_dev Row,0.006495034652222033,0.029971046317089182
mean NdUnfilled,0.007564966793636289,0.029796934899658976
avg_dev NpUnfilled,0.0023814035363696807,0.02851608198219316
mean Column,0.0018297065148502524,0.028512236404527432
avg_dev NdValence,0.0034553298634720482,0.02755103020133761
mode NpUnfilled,0.0013211775087395225,0.026984078597453907
mode Number,0.00232384034811385,0.026916232994480642
mean MendeleevNumber,0.001887476724747486,0.025617359162038736
Yang delta,0.007341149261577463,0.02345000406155323
avg_dev NValence,0.0027331479919528064,0.023314607038556243
maximum MeltingT,0.0046543182345961595,0.021882316029801795
mode Column,0.009868821278864107,0.021492779661834858
mode AtomicWeight,0.002379750456714166,0.020819791215774323
minimum Column,0.004543912338649864,0.020667482945261016
range NfValence,0.002204345713022178,0.0202978126595885
maximum NValence,0.005623553293808437,0.019998046660841748
minimum NValence,0.0035536408668821874,0.01944987348084162
range NValence,0.00416153408814184,0.018175072082503123
mode NValence,0.0026919156474035657,0.016340987939092513
maximum Row,0.002130503203835556,0.01628577354958767
maximum NfValence,0.0028734797055599164,0.015380151574919334
maximum GSvolume_pa,0.002534298401076143,0.015186907116811208
avg_dev NdUnfilled,0.002766064364992676,0.014951992614325204
mode NUnfilled,0.0008525202705725177,0.014449346177087981
mode GSvolume_pa,0.0004722587650747214,0.014398469936054618
range GSvolume_pa,0.003917548265109316,0.014311214670724999
minimum MendeleevNumber,0.005310976065720789,0.01303266396111177
avg_dev CovalentRadius,0.0014774780807633157,0.011860487372883989
avg_dev GSvolume_pa,0.0036208923241433915,0.011360381461896286
avg_dev MeltingT,0.00260655485742285,0.010548648947603616
mean NpUnfilled,0.0031497383972733444,0.010189328942787294
minimum Electronegativity,0.0018679883434206004,0.010130224147335951
avg_dev Column,0.002202822498217087,0.009930151832183846
avg_dev NUnfilled,0.001763171314211295,0.0096561537061534
range MeltingT,0.0031145163083872896,0.009544004017454304
avg_dev MendeleevNumber,0.0020696147855274265,0.009267461820177963
10-norm,0.0007799300532706133,0.0086465739683267
maximum CovalentRadius,0.0014016104803890354,0.008050579060277317
range Row,0.0025477578271728128,0.008020195810958218
range CovalentRadius,0.0018285724932735404,0.007923575011492727
mean GSvolume_pa,0.002262489992185252,0.007759107709340389
mean GSmagmom,0.0014285005979080673,0.007581711180042596
mode Row,0.0007645838454544864,0.007540905320087855
minimum Row,0.0010929461270416157,0.007437056443990147
range MendeleevNumber,0.0014637720214472597,0.007020460194960806
range SpaceGroupNumber,0.0010756185098321693,0.0069257977222512606
range NUnfilled,0.001538251534285152,0.006692129160438995
avg_dev GSmagmom,0.0012031645148765531,0.006392954912036727
avg_dev NpValence,0.0016249369554207967,0.006345712045661929
minimum GSvolume_pa,0.0014741386331628258,0.00633074471515579
avg_dev SpaceGroupNumber,0.0011070174549974022,0.006308108128958916
mean GSbandgap,0.0010197246353067613,0.0062744232832878215
maximum NUnfilled,0.001222921993077097,0.006244245283083037
5-norm,0.002161038049405409,0.006221748286070356
minimum AtomicWeight,0.0004087444092083967,0.006188651768168912
7-norm,0.0013729091663567613,0.006088981202931646
maximum NdUnfilled,0.001312778280417804,0.006047259445368004
avg_dev GSbandgap,0.0013702403126718316,0.005792440172231232
minimum Number,0.0010548886978614925,0.005659580216253024
minimum NUnfilled,0.001833578534001451,0.005389471086980162
2-norm,0.0008567140290805644,0.005304863026958672
dist from 5 clusters |APE| < 0.010,0.0008541692949581892,0.005184260423038801
avg_dev NfUnfilled,0.00023220735145664925,0.005155042877572401
3-norm,0.0008523927982966668,0.005041536591092945
range NpUnfilled,0.0017525688304759661,0.004887893822137626
0-norm,0.000302094148616074,0.004798100561561558
range GSbandgap,0.001087629029653206,0.004649471826806368
range NfUnfilled,0.0007235492564315331,0.0046402836019431015
maximum NfUnfilled,0.0011203653244253344,0.0046333492090454564
mode NdValence,0.0013908670655838153,0.004471967497905815
dist from 3 clusters |APE| < 0.010,0.0009628179139100258,0.004383092236999881
mean NfUnfilled,0.00027504090653242557,0.004324740168807068
range NdUnfilled,0.0012024106443830733,0.004197371210532046
range Column,0.0005295343504407748,0.004172892354105405
mean simul. packing efficiency,0.0005605551442086293,0.003911401421239537
maximum NpUnfilled,0.0005237657015446343,0.0038288231236811503
avg_dev NsUnfilled,0.0006659209415513094,0.003777027325650051
range NdValence,0.000568919900802747,0.003442599516887833
mean abs simul. packing efficiency,0.00041688381926207317,0.00342448262794192
maximum GSbandgap,0.00014037334605157642,0.003408350177479296
