,importance,totalImp
mode AtomicWeight,0.044670524365665785,0.3068426441627878
mode NValence,0.04819828978582213,0.3054758885087948
mode Number,0.03947954674021053,0.29259377477634607
mean NValence,0.06266717464596853,0.28797385075440474
mode MeltingT,0.011699182054921218,0.18042319511023447
mean AtomicWeight,0.015483566741345317,0.16535373631142372
mean Number,0.021064016808105893,0.15959581915149013
mean Electronegativity,0.02957577189766,0.13694421817645397
mode Electronegativity,0.02507598139828989,0.13144887379631326
mean MeltingT,0.01129199202165303,0.1306208426913092
minimum MendeleevNumber,0.039499394057324444,0.12292912552236199
mode NdValence,0.009512340072882921,0.11124650302761518
avg s valence electrons,0.039837364380626676,0.09377395756923698
mode Column,0.03206544756644961,0.09371766621536509
mean NsValence,0.036763340062845866,0.0935037556489479
avg d valence electrons,0.01088706353484311,0.09172821709330231
mean NdValence,0.008811412656048774,0.08466799645530562
minimum Column,0.018181990090190035,0.08096164070275089
mean Column,0.015587801879814213,0.07626905458559197
minimum NValence,0.013965137052181907,0.07430073157664159
mean Row,0.009813541239893786,0.07383645758662416
maximum GSvolume_pa,0.029643141704329593,0.05681004990860757
mean NUnfilled,0.015383089674518215,0.054936677486626374
mean NdUnfilled,0.005308677234165161,0.05372292017116333
minimum Electronegativity,0.015227821261102609,0.05327456724654525
mode Row,0.009399776815209673,0.04859767626701759
mode NUnfilled,0.018182337572671837,0.048194514196004665
avg_dev Number,0.008531638710192585,0.048143817929350026
mode MendeleevNumber,0.007565707075792285,0.046624288286774486
maximum Number,0.017436149961225413,0.046477815781031676
avg_dev NpValence,0.009624387037003754,0.04564519898867423
maximum CovalentRadius,0.009797397362558996,0.04518189949879773
mean GSbandgap,0.00844561402082317,0.04290441454056752
avg_dev AtomicWeight,0.012030175424241358,0.04146589600233455
mean MendeleevNumber,0.004305115593821823,0.039668994912177936
avg_dev NValence,0.016192801934333683,0.03873423709524699
avg f valence electrons,0.009413146486918903,0.03844075044449574
maximum AtomicWeight,0.008127965374754272,0.03760499016515569
mean NfValence,0.007483043075573045,0.03584499250808555
maximum NValence,0.012572790905588443,0.03517156403522807
mode GSvolume_pa,0.005841377801323321,0.03279886021203294
range GSvolume_pa,0.011800981956016898,0.032557229777168226
mean CovalentRadius,0.006299151708169446,0.03245179304672074
avg_dev MeltingT,0.009698643187725729,0.03010882300769381
range CovalentRadius,0.004529297059580932,0.029763648265466187
avg_dev GSbandgap,0.005086393530216835,0.029568802490957963
avg_dev NUnfilled,0.005731652562397514,0.028579934956161575
mean NpValence,0.005203933315681425,0.025742890864334546
mean SpaceGroupNumber,0.0029371201924284275,0.024426327250206728
avg_dev Row,0.00543034093959032,0.02350934450403317
avg p valence electrons,0.0025522343900763285,0.023377571447957275
maximum GSbandgap,0.006367047429773326,0.022459682811373585
mode NdUnfilled,0.0008684508094048177,0.021747541845621568
maximum MeltingT,0.002283153157501065,0.021244758028251876
minimum Number,0.007005710404868579,0.020709773911965264
avg_dev NfValence,0.002867792119930401,0.019924614347553056
mode NfValence,0.005080782775620518,0.019310863667118587
avg_dev SpaceGroupNumber,0.003923461706672831,0.01867415958682943
range GSbandgap,0.0038144522958953484,0.018050744990366532
avg_dev NdUnfilled,0.001433240494353343,0.017772138899771417
range NUnfilled,0.0011128765760362116,0.01693558634698314
mode CovalentRadius,0.0013552472009577344,0.01659049656549306
mean GSvolume_pa,0.00495242707019492,0.016339144708082617
avg_dev CovalentRadius,0.0007601271388858043,0.016284881581997132
maximum Electronegativity,0.0028775401763981843,0.015258335494075818
range NValence,0.005298100335836185,0.014943536355587313
range AtomicWeight,0.006658501863510057,0.014356230925576233
maximum NUnfilled,0.0028842375175690167,0.013751934443509903
avg ionic char,0.003401382774816747,0.013551006955121164
range MendeleevNumber,0.0011189507529419432,0.0126567890965262
mode GSmagmom,0.004106482055094298,0.012580757290696788
mode NsValence,0.003192001313628621,0.01229668225025934
mean GSmagmom,0.0033835628099683573,0.01196467964142042
avg_dev NsValence,0.0029393646189950257,0.011873311825974503
minimum AtomicWeight,0.0009522226674019499,0.011687790043826026
mean NpUnfilled,0.00257458442575603,0.011461718380562008
avg_dev MendeleevNumber,0.0017007643080773115,0.011124670735009955
range Number,0.002673234106138356,0.01107366026393512
avg_dev GSvolume_pa,0.002006051803563365,0.010813678898453093
minimum MeltingT,0.005403162140269881,0.010536211448960345
minimum GSvolume_pa,0.0007727226368272839,0.009995807093803046
mean NsUnfilled,0.004554411332953933,0.00979810796917181
avg_dev GSmagmom,0.0015290787236150708,0.009438309526869849
maximum NdUnfilled,0.0027298905147450296,0.009333859014310653
avg_dev Electronegativity,0.002642760459841659,0.009050101019365243
range NdUnfilled,0.0010270414424453755,0.008919838022342683
minimum NUnfilled,0.002913367544734871,0.008604625038241165
range NfValence,0.003851987879256906,0.008580911015082772
avg_dev NdValence,0.0022727094576190008,0.008498178807954972
range MeltingT,0.0016365575771993756,0.008464664654923773
maximum Row,0.00032026355390599165,0.008116707463990062
range Electronegativity,0.0020162527617242436,0.008101546975712956
avg_dev Column,0.0014949439214493535,0.007981140371721578
range Column,0.0011760429335617429,0.007921030143266334
minimum NsValence,0.0035876381448686017,0.007891241677969313
maximum NfValence,0.0005542209068454258,0.007330009994215483
Yang delta,0.0017532162124733483,0.006891076284001284
mode NpValence,0.0,0.005978537317594273
avg_dev NsUnfilled,0.002096959485475689,0.005665684054991435
5-norm,0.001392745472519318,0.005620797988678677
mean abs simul. packing efficiency,0.001248179907241159,0.00552299156600116
maximum Column,0.004288986039294302,0.005480751811574212
minimum CovalentRadius,0.0026559310344816,0.005218504680647443
range SpaceGroupNumber,0.00021960606846587534,0.005119858739951302
10-norm,0.0015474923763843242,0.005091586001923703
7-norm,0.0008436258149427581,0.005055568845173014
maximum NpValence,0.0001595974447223649,0.004655950977810815
Yang omega,0.0013395210934393238,0.004468010233444661
range NpValence,0.0007615638387357068,0.004404189320821844
range GSmagmom,0.0005169158172401155,0.004386683335869094
range Row,0.001460400807151823,0.004272451710397711
mode NsUnfilled,0.002223577873156549,0.004231815934308973
avg_dev NpUnfilled,0.001289240674354787,0.00408758709759565
3-norm,0.0008323985123246599,0.003918341428822401
range NdValence,0.00028810123690886034,0.003888402649240751
dist from 5 clusters |APE| < 0.010,0.0014098870761494818,0.0038558836755358426
avg_dev NfUnfilled,0.00029362299896307497,0.003784965567536813
range NsValence,0.0001024579652825795,0.0037031210978819822
dist from 3 clusters |APE| < 0.010,0.0010519551152684162,0.0032278546175647294
2-norm,0.0007372669048008614,0.0031017332420035996
max ionic char,0.0003733287701375985,0.003081579818316791
mean simul. packing efficiency,0.0010152526432674546,0.003064007251042952
maximum NdValence,0.0007429930816295957,0.0030164318020156726
range NpUnfilled,0.0010154089602484706,0.0029493294167216508
minimum Row,0.0005598582956347713,0.0029179504830193596
mean NfUnfilled,0.00011579277615101467,0.002893831472263114
dist from 1 clusters |APE| < 0.010,0.0008321367549583876,0.002727281386799792
mode SpaceGroupNumber,0.0008397092990283768,0.0026699386281420247
mode NfUnfilled,0.0010889018174296806,0.002186320385560767
minimum SpaceGroupNumber,0.0005655777207943448,0.0021559575606839914
maximum GSmagmom,0.0006045163823311903,0.002012846136503299
maximum NfUnfilled,0.0007903652573507068,0.0015715718428733364
0-norm,0.00016910627653779335,0.0015032913732187252
maximum NpUnfilled,0.0009457332885761191,0.0014460235450052211
range NfUnfilled,0.0006901118164506797,0.0012945882235380168
maximum MendeleevNumber,0.0004810502759062523,0.001199676484453521
mode NpUnfilled,9.530610336595441e-07,0.0011202329612700276
minimum NdValence,5.521907937874794e-05,0.0007404797068378784
maximum SpaceGroupNumber,0.0003704830986456056,0.0006454422977446468
maximum NsUnfilled,2.396799766552367e-05,0.00022875064483117002
minimum NdUnfilled,0.00017718045928446732,0.00019684799984304402
range NsUnfilled,8.374227629136909e-06,0.0001721054066894679
minimum GSmagmom,3.314332772370103e-05,3.32661534907854e-05
minimum NpUnfilled,0.0,0.0
