,importance,totalImp
mode Number,0.06393872191313571,0.30237146741055665
mean NValence,0.06920434270407813,0.3014736465359495
mode AtomicWeight,0.028977584372376984,0.29158468700075263
mean Number,0.021737344840147804,0.23542052653212098
mode NValence,0.03527238779897787,0.2150247352195237
avg d valence electrons,0.02139645221057818,0.20946441477965022
mean Electronegativity,0.04499327453236486,0.1547174393032984
mean AtomicWeight,0.008389115728072768,0.15258628706026453
mean NdValence,0.0432292970859434,0.15080838493497783
minimum Column,0.026674667846311662,0.12828012381747045
mode MeltingT,0.017524269240199307,0.12610493442703177
minimum NValence,0.023511780287570012,0.12307613590172768
mean Row,0.011145333552273328,0.1127583509700962
mean Column,0.03706849183704409,0.11176594573080717
avg s valence electrons,0.027226851188472533,0.10951416824834888
mean NsValence,0.014169348334051821,0.09893139581227701
mode Electronegativity,0.01605602275264948,0.09162355975855264
mean MeltingT,0.008792073630796347,0.0913924552835026
range CovalentRadius,0.028719308123951716,0.07459939830925662
mode Column,0.01630523860239062,0.071269222679511
avg_dev NValence,0.028026051344502617,0.06782490756646438
mode NdValence,0.01688975551283925,0.06659438453923615
maximum AtomicWeight,0.025474374839384924,0.06215161588949372
avg_dev AtomicWeight,0.017475142274535456,0.05979000673244905
minimum AtomicWeight,0.007923025964000942,0.052001944239124465
mode Row,0.0072646933282043535,0.050381202123940615
range GSvolume_pa,0.014600363991201473,0.04944336587628593
minimum Electronegativity,0.010613766279230896,0.04915724562533556
maximum Number,0.01341145520900737,0.048485382718277445
mode MendeleevNumber,0.006617295253583225,0.04780495993911195
avg_dev Number,0.014163040186291196,0.04615698255562287
range NValence,0.008119004822391133,0.04611449795646057
mean MendeleevNumber,0.010852254205353311,0.04171311669445695
minimum Number,0.012718568589569674,0.04020927970275494
minimum MendeleevNumber,0.0030564661822955687,0.038555256330027335
mode NUnfilled,0.009753837901435889,0.0365103032513405
mean NsUnfilled,0.002492460933543922,0.03086485575538957
avg_dev Row,0.005198576105756128,0.030046364517030928
maximum NValence,0.008259778272570248,0.029576845830790725
avg_dev SpaceGroupNumber,0.0027643626473936333,0.028349254530924784
mode GSvolume_pa,0.0038248716586254334,0.02822560723527887
mean NfValence,0.006597964398272515,0.026872966808719322
avg_dev NfValence,0.010916294176835806,0.02531853084750344
avg_dev NpValence,0.003243634618978088,0.024858202966301222
mode NfValence,0.0048607249107997345,0.02445013131732727
avg_dev NsValence,0.00818032889853192,0.02310070520628041
minimum NUnfilled,0.010528060195419091,0.022973156577318465
mode NsValence,0.007945092351386957,0.022588338800003067
maximum CovalentRadius,0.002053460059488076,0.022397451799953377
mean NUnfilled,0.008062045574001662,0.022290105042040268
avg f valence electrons,0.0030679742709831927,0.021727564993651784
mean GSvolume_pa,0.004752147281428538,0.020592801423754217
range Number,0.005053741620963963,0.020554630300757864
maximum Electronegativity,0.004341054288269854,0.01942421360795519
mode CovalentRadius,0.0033168171431185458,0.019326830430034445
mean NdUnfilled,0.0019002900841153495,0.019200526870143224
mean NpUnfilled,0.0048558820995322615,0.01912481903269367
avg_dev MeltingT,0.006045443705152876,0.01860217772991386
mode NdUnfilled,0.0015912655562680294,0.015041877982706023
avg p valence electrons,0.00195568206080014,0.014847650921794775
range AtomicWeight,0.003754392413536212,0.014804270735971157
maximum GSvolume_pa,0.0011541357048694871,0.014408881973847276
maximum MeltingT,0.0019218740553871164,0.01397564356332319
mean GSbandgap,0.00017940464260543827,0.013405556920186235
avg_dev NdUnfilled,0.0018720145264209229,0.013049167350875562
mean NpValence,0.0025266358820625915,0.012897178086163792
minimum NsValence,0.005603535541087241,0.01277321773818115
avg_dev CovalentRadius,0.0007599935589644576,0.012447113878353105
mean CovalentRadius,0.0021166547874714487,0.011579460338986613
range Column,0.0009990279844454282,0.01074082009332462
avg_dev NdValence,0.002497432878549328,0.01059256981019933
avg_dev NUnfilled,0.0011397189971196133,0.010269703136554757
range MendeleevNumber,0.0020553064546571654,0.00944087935543009
mean SpaceGroupNumber,0.001522599606448998,0.00920267354221194
maximum MendeleevNumber,0.0016553773762550041,0.008898084997650074
maximum NfValence,0.002629063634853448,0.008883977232493139
avg_dev Electronegativity,0.0021884902375455613,0.008874859206018701
range Electronegativity,0.0005243256950795325,0.008549128836395045
maximum Column,0.0015509638747562698,0.008492823706210824
maximum NUnfilled,0.002128781074358207,0.008463420720846469
10-norm,0.0025410372350720095,0.00817809785517875
avg ionic char,0.0025812950611312567,0.008102811142972245
range GSbandgap,0.0020419730597837932,0.008039973552701259
minimum GSvolume_pa,0.0006135900754057111,0.008022610050071974
3-norm,0.0027512937339456765,0.007843194976613208
avg_dev GSbandgap,0.0017228285039619525,0.007794079946406213
avg_dev GSvolume_pa,0.0023132187339228063,0.007653428436923637
range NUnfilled,0.002697064207635083,0.007552559051449379
Yang delta,0.0015332475144485182,0.007536464835874726
5-norm,0.0018695486265559794,0.007315913419263555
2-norm,0.0021864599499354775,0.007227379237056013
avg_dev Column,0.0016073374831426018,0.007212038983698517
avg_dev NsUnfilled,0.0015017221733947428,0.007036519680669583
avg_dev GSmagmom,0.0010520233373310078,0.006983628171200202
range NdUnfilled,0.0001445039858831641,0.006905088255585539
avg_dev NpUnfilled,0.0022532045088845946,0.006787206670438212
avg_dev MendeleevNumber,0.0017337579626871683,0.00677708432384492
maximum NpValence,0.005155533140578392,0.006741815158407459
max ionic char,0.0011934969140090373,0.006463552366776324
Yang omega,0.001984872834260506,0.006433511718102705
range NpValence,0.0016860945332220249,0.006392988765921213
range Row,0.0015752459106651972,0.006238665995035533
maximum GSmagmom,0.0013418337597554885,0.005896469722313465
minimum CovalentRadius,0.000528447049516619,0.0056919264263001566
mode SpaceGroupNumber,0.0001094979081066849,0.005508019081690324
7-norm,0.0016262120337790457,0.005401080472601596
mean GSmagmom,0.0006452949297250767,0.0050782173979517006
mode NpValence,0.0017277777747401635,0.005000862473388814
