,importance,totalImp
minimum CovalentRadius,0.038615641983838794,0.1751435912906525
mean GSbandgap,0.040552523958198076,0.17018307545314054
avg_dev Column,0.02240131645153782,0.1621959992524852
avg_dev NpValence,0.037926803429281016,0.14601170954043885
mode MeltingT,0.005059998066517682,0.12191681110794142
minimum GSvolume_pa,0.009253835638768903,0.11650940826124644
avg ionic char,0.017279981632015707,0.10938261594645628
mode NValence,0.0075720681664141285,0.10694020787705077
avg_dev NdValence,0.019653805457663806,0.100532937819711
avg_dev Electronegativity,0.020839718394586478,0.09725602745558637
maximum GSbandgap,0.02628442720069541,0.09681619362715617
range GSbandgap,0.023658271291193817,0.09337798940196201
mean GSmagmom,0.016835940486044178,0.09122968804559647
avg_dev Row,0.020414495481908528,0.09061594048672651
mean CovalentRadius,0.0319058058747458,0.0836654718464349
avg_dev GSbandgap,0.009691736012558502,0.08332085921144337
mean NpValence,0.028085776673209977,0.0776291149995477
avg_dev NValence,0.011580083471563671,0.07374395765521265
mean GSvolume_pa,0.015119061012727248,0.07038474229111097
mean Electronegativity,0.011480246073446642,0.06933218072216578
Yang delta,0.010591393181342963,0.06603655503542046
avg_dev NpUnfilled,0.018723711653296872,0.06539634740147648
avg_dev Number,0.013146117542207908,0.06428518578816382
avg_dev GSmagmom,0.011359719872747122,0.06368439832106433
avg p valence electrons,0.027761509036752532,0.062368759947157223
avg_dev SpaceGroupNumber,0.014425246343034574,0.06119174510296352
avg_dev CovalentRadius,0.013138958899315444,0.06006779080919875
mean NpUnfilled,0.01703221863974368,0.059456731028996915
mean SpaceGroupNumber,0.008406459338960363,0.05396894364391314
mode GSvolume_pa,0.008404472672396123,0.05376651901657963
mean Column,0.008974737850116788,0.05294301068131788
avg_dev AtomicWeight,0.011123261228833529,0.051717721831583824
range AtomicWeight,0.013719260188272237,0.0503409851842323
mode Column,0.004317742001373624,0.049038727858195234
mode GSmagmom,0.0044409649340048565,0.04831317483182254
range Number,0.011840550000302298,0.04464963870485278
avg_dev MeltingT,0.0098022077528225,0.04381204038235879
mean NsUnfilled,0.008943973009373158,0.042885229675340725
mean NValence,0.007744874263229238,0.04111839071335978
mean MeltingT,0.008818790082945428,0.03947427122419947
mode AtomicWeight,0.007742664757732398,0.038971553394235636
avg d valence electrons,0.004571452893937144,0.03799044846893933
avg_dev MendeleevNumber,0.007594991697174816,0.03761591564597646
range GSmagmom,0.004173764830460105,0.03685809093464872
avg_dev NfValence,0.011832433949615744,0.03657312850802111
maximum Number,0.00870335010978337,0.03655275747085911
mean NUnfilled,0.0051819220564845,0.03650291331182469
3-norm,0.007924175936268206,0.036133181657597116
mode Electronegativity,0.0098174482620943,0.0356354102522306
minimum Number,0.001608567969805522,0.03479943575228794
range CovalentRadius,0.005570836108733602,0.034646599546239935
avg_dev NsUnfilled,0.0057165414078421805,0.033757308006572444
maximum GSmagmom,0.00629490085507499,0.033602302501763937
mode Number,0.004000086660361609,0.03331508088534164
mean Number,0.0037933947278865083,0.03278431388769542
range NValence,0.0048594171457625,0.03261451218655485
2-norm,0.005712414802025235,0.032580677068729864
mean NdValence,0.005766904232994791,0.032061852942225966
mean Row,0.007571662096769936,0.031802724218994535
5-norm,0.004402907102682057,0.031164975787471627
avg_dev GSvolume_pa,0.010347420221069752,0.031077790301394136
mean AtomicWeight,0.004743585921016448,0.030686726059368407
mean abs simul. packing efficiency,0.008038532535123129,0.029351906680526625
maximum AtomicWeight,0.0071102791483762424,0.02914171047159158
avg s valence electrons,0.007509368901600259,0.029065509572262286
mean MendeleevNumber,0.006648098328137192,0.028902898116166916
mean NfValence,0.0034000957883035736,0.028484351364982362
maximum NValence,0.00765810810777418,0.027625369187725943
mean NsValence,0.005460119663682615,0.026270262178345223
avg_dev NUnfilled,0.004198866400956646,0.026089561303671936
10-norm,0.0047466789725330635,0.026073694376805415
avg_dev NdUnfilled,0.006237065745324644,0.024677071314806016
Yang omega,0.005228726786593026,0.024466077327847054
7-norm,0.0056097317167151176,0.02383656596582484
minimum MendeleevNumber,0.003324711614104281,0.0234563281266312
mode NUnfilled,0.002455049912317957,0.023172818510981574
range SpaceGroupNumber,0.006049875980233678,0.021221118270725325
range Electronegativity,0.0025877116481123454,0.020971845082356697
avg f valence electrons,0.006146526752695447,0.0208089134921381
minimum SpaceGroupNumber,0.004400678346073541,0.020414327124119162
avg_dev NsValence,0.003717879659900099,0.020289025224187646
maximum Electronegativity,0.003110584596220789,0.020161326664718728
mean simul. packing efficiency,0.0035864614942140056,0.01935869942532005
range GSvolume_pa,0.003727587597065799,0.0179653239412872
mode MendeleevNumber,0.004444922954712653,0.01755864283327889
range MeltingT,0.0052679296123776895,0.01748318280769541
minimum AtomicWeight,0.0019971530793042426,0.016963171930939765
range MendeleevNumber,0.006206515470208108,0.016820338409702696
dist from 5 clusters |APE| < 0.010,0.0034235095083275558,0.015488618176685384
max ionic char,0.0036723234171138998,0.015417025953301635
maximum GSvolume_pa,0.003363358022697505,0.015315786914688139
mean NdUnfilled,0.002019725146892484,0.015150861767874483
maximum CovalentRadius,0.005583898046574066,0.015146989522907094
range NfValence,0.0022299183385925624,0.014847882427481992
dist from 3 clusters |APE| < 0.010,0.003443799872362374,0.014791978588010167
maximum MeltingT,0.0014924630440564391,0.014400243247367352
mode NdValence,0.002059053185794828,0.014295728390757757
maximum NfValence,0.003069006690910808,0.01416786520393076
mode NfValence,0.00448782850467885,0.01406365142067817
mode CovalentRadius,0.0013317727180101053,0.01382793429570784
range NUnfilled,0.0031035437814564775,0.013636964907919852
dist from 1 clusters |APE| < 0.010,0.0030704231872395685,0.012873603741192322
minimum MeltingT,0.001070519046869161,0.012873430899451118
minimum Electronegativity,0.0018518398572168887,0.012484312773814695
range Row,0.004098609734243853,0.012271495071856462
maximum Column,0.0011320782135971223,0.011101986925514552
maximum NUnfilled,0.0035145089246173067,0.011093162048865313
maximum NpValence,0.0009567226541288851,0.011071377359232387
range NpValence,0.0020844893796315997,0.010126783389051406
minimum NUnfilled,0.002054077511276754,0.009702112462645119
maximum MendeleevNumber,0.0008763831132452536,0.009197518129717785
maximum NdValence,0.0015776353096547359,0.009021255747720766
range NdValence,0.0009223049730475423,0.008782864553074206
mode SpaceGroupNumber,0.002423810663138229,0.00860694635677368
minimum Column,0.0015236251662483014,0.008234766041209587
range NdUnfilled,0.0009436563133499285,0.007409095569816581
mode Row,0.001180880925417757,0.007043536938160686
minimum Row,0.0023518797978003807,0.0064199458322831745
minimum NValence,0.0004065078494182947,0.006225388659502925
range Column,0.0003916089944224735,0.005842146157026917
avg_dev NfUnfilled,0.001737763954605995,0.005657666971977538
maximum NdUnfilled,0.0007996142116288771,0.0052687640721097075
0-norm,0.0009054862508631709,0.004706406277080808
maximum Row,0.0006481997288778133,0.004372995323311528
range NsValence,0.0001140876565773335,0.004033167925950763
maximum SpaceGroupNumber,0.002071773619067685,0.0037186137582927103
range NfUnfilled,0.0014978816703008083,0.003461179627016764
mean NfUnfilled,0.0007481724935783167,0.0033221026877281964
mode NdUnfilled,0.0006582545947154332,0.003173502416884007
mode NsValence,0.00040433426511476495,0.0030641839671823735
maximum NfUnfilled,0.001213111435369125,0.0030172230214154396
range NpUnfilled,0.0004984735528213999,0.0028754841681384474
mode NsUnfilled,0.0011432591328057787,0.002706824273570431
maximum NpUnfilled,0.00022067575063555587,0.0022036929330560002
range NsUnfilled,0.0009332657615634211,0.0017392646592220343
mode NpValence,0.00027616674227679954,0.0017182517211095673
minimum NsValence,0.00018238726375816375,0.0016865427431945778
maximum NsUnfilled,0.0002298559861481183,0.001130162789294788
mode NfUnfilled,9.117157562736032e-05,0.0008276804862020594
minimum NdValence,0.00018289400374435372,0.0008148887288661199
mode NpUnfilled,1.1509416524523006e-07,0.00030441695267011267
minimum NdUnfilled,3.426287808504394e-06,0.00020109179728394565
minimum GSmagmom,5.726969058249259e-08,2.0525634628406505e-07
minimum NsUnfilled,0.0,0.0
