,importance,totalImp
mean GSvolume_pa,0.03166978078229455,0.28809903356452227
minimum CovalentRadius,0.02430168492429682,0.2389603905499028
mean MeltingT,0.03527613949414222,0.22873641129020453
minimum GSvolume_pa,0.034042328845978326,0.22383058178689355
mean Electronegativity,0.08082357785873238,0.1996233451617332
mode GSvolume_pa,0.04933310347250017,0.17311748326369303
maximum MeltingT,0.009441687294935965,0.16131587412593476
mean GSmagmom,0.024550251454199912,0.15838144806208768
mode GSmagmom,0.024653781040160902,0.13453803017176416
avg_dev GSbandgap,0.05690309913300406,0.12566603686061847
mode MeltingT,0.024483540093128107,0.09468296252057101
avg_dev GSmagmom,0.009142461245429159,0.08939428542363032
mode Electronegativity,0.01970535751679636,0.0864419463610307
mode NdValence,0.019460785793723522,0.0859783515278921
mean CovalentRadius,0.020878885158692972,0.08414164450727443
range GSbandgap,0.027104034286474857,0.08160927146562547
minimum MeltingT,0.011932664596242055,0.08092324979303273
mode Column,0.012515895374327441,0.08048992683944052
mode SpaceGroupNumber,0.006008251516382136,0.07158543494293051
maximum GSvolume_pa,0.012736885001895498,0.06853845311627972
minimum MendeleevNumber,0.017817024362826797,0.06394775043794772
maximum GSbandgap,0.02887517000611674,0.06326557379725777
maximum Electronegativity,0.03294549377972107,0.06206142050671487
minimum Electronegativity,0.008918705149306453,0.057277690372895956
mean GSbandgap,0.018797225127048317,0.052177622330271727
maximum CovalentRadius,0.008589627018232748,0.05071561483789921
range CovalentRadius,0.009381160846526765,0.05041105560241011
mean MendeleevNumber,0.01006864882337153,0.049833428327548376
mean Column,0.013758239994749647,0.04805010688677139
minimum AtomicWeight,0.005798680068487527,0.04761762421865369
Yang delta,0.004664696908156243,0.04722597612259945
mean NdValence,0.002466172918054969,0.046173663059007025
minimum SpaceGroupNumber,0.005976898052630182,0.04614892866315151
mean NpValence,0.024547272649752146,0.03584872952256077
minimum Number,0.004578782475455233,0.035123701417378334
mode MendeleevNumber,0.008366138069372383,0.03502461002693292
max ionic char,0.005917080282526229,0.033870645659533336
mean NpUnfilled,0.006373949979027203,0.03353085439507501
avg_dev MendeleevNumber,0.010113820648294684,0.03171672619078212
avg_dev CovalentRadius,0.0028683562792160573,0.03137705725605357
avg_dev GSvolume_pa,0.007107101490092126,0.030971708155272188
minimum Row,0.0004500572522838218,0.030547242161844936
avg_dev Row,0.004853107382434465,0.029806970793931464
avg d valence electrons,0.0055180451558582335,0.02907504978063159
range SpaceGroupNumber,0.01478961576644479,0.028852998732452253
mean Row,0.003348517099470601,0.027727057308826186
avg_dev NpValence,0.011599312886856483,0.02661694392028481
avg_dev MeltingT,0.005541813071455512,0.025473906821540295
range Number,0.005308995143316239,0.025411269711864217
range MeltingT,0.0039158109045151854,0.02515337543807389
minimum Column,0.0010641510348066495,0.024977007258263843
range GSvolume_pa,0.008221161753124755,0.024939039703914548
avg_dev NUnfilled,0.0032517606840871903,0.023583764191741945
range AtomicWeight,0.003013518387971702,0.02326468721685125
avg_dev NpUnfilled,0.0014044990325892848,0.022921806570251724
mean NUnfilled,0.0038450841323096345,0.02195219712551351
range Row,0.004758359161554828,0.021631481455958633
range GSmagmom,0.00043586587551126555,0.021242685715470798
maximum AtomicWeight,0.0040549190096891615,0.02070091027275632
range MendeleevNumber,0.002791626870424395,0.020690455795829926
mean SpaceGroupNumber,0.002673896429467676,0.020527530682929906
range Electronegativity,0.004506822896331333,0.020295890012633898
avg p valence electrons,0.009504300797244685,0.02001752882850311
avg_dev AtomicWeight,0.002059099169540293,0.01989065971510118
avg_dev Number,0.004106109054651236,0.019844713764602742
mode CovalentRadius,0.002523569328043792,0.01929759139683063
avg_dev NdValence,0.0020667055650031114,0.01923488824243586
avg ionic char,0.003152794187175333,0.018609751931894118
avg_dev SpaceGroupNumber,0.003478386307496599,0.01821812193042732
avg_dev NdUnfilled,0.0057091856290462815,0.018073560386195744
mean AtomicWeight,0.0033379783669036235,0.018004410281021385
mean NValence,0.0036748047644736197,0.017128027034991673
mean NdUnfilled,0.002687332296926378,0.0168067039340293
mean Number,0.001840733366509784,0.016602274328248304
mean abs simul. packing efficiency,0.0031827437741441546,0.01630794497685372
Yang omega,0.0027347761700767994,0.01587856861875482
avg_dev NValence,0.004099741716948702,0.01563344000793905
avg_dev Column,0.005737522076896971,0.014416639401473245
