feat_name,importance,totalImp
mean NValence,0.23991433154982134,0.23991433154982134
mode Number,0.14514564601414282,0.14514564601414282
mode NValence,0.140335145013777,0.140335145013777
maximum Number,0.09973071079455562,0.09973071079455562
maximum NValence,0.07512905228129778,0.07512905228129778
mean Number,0.06830007229015783,0.06830007229015783
minimum NValence,0.020312016231220812,0.020312016231220812
maximum MendeleevNumber,0.016171481369291408,0.016171481369291408
mode MendeleevNumber,0.01527392785273788,0.01527392785273788
mean NfValence,0.014100881107323476,0.014100881107323476
mean NpUnfilled,0.013498855830417855,0.013498855830417855
mean Electronegativity,0.01313051280857309,0.01313051280857309
mode MeltingT,0.012513554201381174,0.012513554201381174
mean MeltingT,0.012199373160457163,0.012199373160457163
avg_dev NValence,0.011219610637964282,0.011219610637964282
minimum MeltingT,0.010823662822685931,0.010823662822685931
mean GSvolume_pa,0.009002305523118901,0.009002305523118901
mode NsValence,0.008451855280433107,0.008451855280433107
avg_dev NdValence,0.007821076675480819,0.007821076675480819
mode GSvolume_pa,0.007251190644462982,0.007251190644462982
avg_dev MendeleevNumber,0.005294954759421223,0.005294954759421223
minimum MendeleevNumber,0.005076388971015802,0.005076388971015802
mean MendeleevNumber,0.004956918915418332,0.004956918915418332
minimum Column,0.004926461450447608,0.004926461450447608
maximum MeltingT,0.004822787085483135,0.004822787085483135
mean Column,0.004252253046995142,0.004252253046995142
mean NUnfilled,0.004155773709835807,0.004155773709835807
avg_dev Number,0.004061240339782204,0.004061240339782204
range MendeleevNumber,0.003523711935197981,0.003523711935197981
2-norm,0.003286558725539689,0.003286558725539689
mean SpaceGroupNumber,0.003237675482877697,0.003237675482877697
mean CovalentRadius,0.002976369007032357,0.002976369007032357
avg_dev Row,0.002603748095673562,0.002603748095673562
Yang omega,0.0025720030554512944,0.0025720030554512944
avg_dev CovalentRadius,0.0022680530103123685,0.0022680530103123685
max ionic char,0.0016598403202145837,0.0016598403202145837
