feat_name,importance,totalImp
mean NValence,0.2197550905240515,1.5815321195181793
mode Number,0.1529786954777644,1.227162406285073
mean Electronegativity,0.3242333070660516,0.8490004542039523
mean Number,0.06541839280544233,0.44655996134264375
mode NValence,0.056155463983578846,0.26673088301047976
mode Electronegativity,0.07591604567990368,0.20790205726259509
mean Column,0.03963910249497167,0.1058919399764027
mean NdUnfilled,0.011269401857857901,0.07199525552564091
mean MeltingT,0.007965534261981135,0.06549890714833832
mode MeltingT,0.008121261711583982,0.042379635709108035
mode GSvolume_pa,0.013941554986153378,0.0413270656895479
avg_dev MeltingT,0.00807127646734403,0.035347598849948286
avg_dev MendeleevNumber,0.008583905032879166,0.032164132869597295
avg_dev NUnfilled,0.007950967650436253,0.02650758260849311
