,importance,totalImp
maximum Number,0.05319604033627143,0.2837608717885857
maximum AtomicWeight,0.06349361250484191,0.28045484894146655
mean NValence,0.05283399163168695,0.26759519880173016
maximum NValence,0.06071049025712249,0.2513447937393681
mode NValence,0.05169713951058129,0.22688636609338403
mode Number,0.04730643128458348,0.20212867341740054
mode AtomicWeight,0.034189772091425846,0.18962015774480245
mean AtomicWeight,0.029392722129828117,0.15718566157434113
maximum NfValence,0.03089108620908094,0.14210405147262933
mean NfValence,0.03731964242933152,0.13282520683835214
mean Number,0.015116050277539088,0.11979477058640463
avg f valence electrons,0.013054089940083486,0.11799917745449257
minimum AtomicWeight,0.018078693562592212,0.10523086433460027
mode NdValence,0.021498639638728542,0.09027341887658535
minimum NValence,0.02240005880894391,0.08716742029867827
avg d valence electrons,0.01244244996592559,0.07812568100537765
mode NfValence,0.00811707410731043,0.07556994088256425
avg_dev NfValence,0.01816387263455316,0.07424032836229524
mode MendeleevNumber,0.016440191793694527,0.07267586855892996
minimum Number,0.008988253561476742,0.07082020713524703
mean NdValence,0.013109481782179648,0.06903729310207496
mode Row,0.010226841185703042,0.06810312097152889
mean Row,0.01564827592333804,0.06394024602573337
mean Electronegativity,0.01175977417952135,0.06081493910908156
minimum Column,0.010646636695704934,0.05269778270168414
mode Electronegativity,0.00979008322520977,0.05091356171179702
mean MeltingT,0.01232468086823495,0.05080023329097235
mode Column,0.008628322442525212,0.049613293074170825
avg_dev NValence,0.014276468340445311,0.04906747873432499
mean GSvolume_pa,0.00998077555763544,0.048444097882624756
mode GSvolume_pa,0.014245114694354355,0.048295883486896146
range AtomicWeight,0.011036163108608192,0.0461242602461773
range NfValence,0.015555368700594943,0.04494285745467225
mode MeltingT,0.010174014197442125,0.043098536298900036
minimum Row,0.006268658599596552,0.04043692738051914
avg_dev Number,0.006933082457325791,0.040283753828444166
range NValence,0.010198004045633839,0.039186203584312095
maximum GSvolume_pa,0.007437547828378878,0.038679282779532045
minimum MendeleevNumber,0.004810074366150341,0.03658250966452893
maximum MeltingT,0.005380593173755177,0.03578282750523545
avg_dev AtomicWeight,0.006383250003067703,0.033986766142421916
minimum Electronegativity,0.007578339134487538,0.030831922753947215
range Number,0.00570031723625032,0.030467127510474177
minimum MeltingT,0.003384173446947848,0.02637835218474868
maximum Electronegativity,0.003459482263949906,0.02499290496680301
avg_dev Row,0.0045030206359320535,0.024709492790089577
mean Column,0.004658977378037304,0.024381900594121774
maximum Row,0.00874016215914576,0.02429244932235509
maximum MendeleevNumber,0.0012893436229213272,0.02380068691185984
mean MendeleevNumber,0.003076952729861145,0.023542867642060167
range MendeleevNumber,0.003991353761937017,0.02203740107325446
mean NpUnfilled,0.003929550201010502,0.020508040595505116
minimum NdValence,0.0015299312278747356,0.01893077953490096
maximum CovalentRadius,0.006624214590370231,0.018751143362614006
maximum NdValence,0.0010994726173454955,0.018610964249532774
mean NsValence,0.003182564209063763,0.018111130362096977
mode CovalentRadius,0.0029922538809014397,0.017237978969078298
avg_dev MendeleevNumber,0.0028647329166791385,0.016865371399585494
avg_dev NdValence,0.0024888551111340363,0.015189154650131636
mean NUnfilled,0.0018290235216533166,0.015029160008673735
avg s valence electrons,0.0016856454279149005,0.014847936213209931
