feat_name,importance,totalImp
mean NValence,0.184290884956246,0.8496778063650056
maximum NValence,0.153212728465681,0.7107282893669185
maximum Number,0.12654025684034484,0.6983194441044835
mode NValence,0.10725595025447623,0.4936550824458694
mode Number,0.051650001189765586,0.35048219629303734
mean Number,0.04279880868008329,0.22575630881678732
mean NfValence,0.06095094454779024,0.20044174005426785
minimum NValence,0.02245798237001947,0.14281943036075712
mean MeltingT,0.027304778916302168,0.13393613030386817
mode MendeleevNumber,0.016163345581266128,0.1251788275114557
mode MeltingT,0.020181741193953454,0.08533892907042617
mean Electronegativity,0.01121252950916258,0.07947855227767597
mean GSvolume_pa,0.019005243080442925,0.07733801051226749
maximum MeltingT,0.012734510635260717,0.07574725564073419
mode GSvolume_pa,0.018410817055077782,0.06904293891747364
avg_dev NValence,0.017063952835028536,0.06840892941329085
minimum Column,0.009895394631647802,0.06125655138508913
minimum MendeleevNumber,0.01269794714431819,0.055054901081519586
avg_dev Row,0.00688325534415115,0.04522718077634605
avg_dev Number,0.008074270666648174,0.044002909949350855
mean NUnfilled,0.005465915446940351,0.038328986840031734
mean MendeleevNumber,0.006101808565805649,0.03832714539975485
minimum MeltingT,0.006341671619422613,0.036238026853572254
range MendeleevNumber,0.0071276850771692215,0.03061688509694957
mean Column,0.00514179879668836,0.029885281156038102
maximum MendeleevNumber,0.006165095658153747,0.02916968832200377
mean NpUnfilled,0.0058400731572518984,0.027418346205623452
avg_dev MendeleevNumber,0.0041350024055438256,0.02736606092020654
avg_dev CovalentRadius,0.005480566906153485,0.026425624290462024
mode NsValence,0.0033846458655224887,0.026326174449195217
avg_dev NdValence,0.0037953286965677047,0.02581035327369184
mean CovalentRadius,0.00331107207996356,0.01770336396781811
mean SpaceGroupNumber,0.002507853809559565,0.015963788531730503
Yang omega,0.002545327615013881,0.013494334544947962
2-norm,0.001995737477703021,0.013039158510164454
max ionic char,0.001875072924874494,0.011995366991185431
