,importance,totalImp
mode Number,0.05222250946368176,0.3003487590257666
mean NValence,0.05742333213433218,0.2888534706571961
mode AtomicWeight,0.03891505940674516,0.2559349521973827
mode NValence,0.04213378867499585,0.24629795824928893
mean Number,0.018849747122663903,0.2215194649511722
mean AtomicWeight,0.013529613972500347,0.1814459628282097
mean Electronegativity,0.044583334205033666,0.17502589704635063
mode Column,0.03323248963873986,0.15696231058620488
mode MeltingT,0.011871381633305214,0.14982408405330652
mean MeltingT,0.004616959481889919,0.13371209222474237
mean NdValence,0.023552883909525524,0.12048320010516396
mode Electronegativity,0.025978003322187436,0.117073342202995
mode NdValence,0.006058909284999487,0.10484927037589527
avg d valence electrons,0.02631621459459049,0.10119557480714672
minimum NValence,0.02182167230849422,0.0968130879655038
minimum MendeleevNumber,0.031060995404150304,0.09609667084397579
mean Column,0.01809525298657667,0.0939068810603946
minimum Column,0.017125697184726982,0.06922388343276009
maximum GSvolume_pa,0.021858356313178878,0.06745283834551846
mean Row,0.008443338523365436,0.06577494680719108
avg s valence electrons,0.011138696916807918,0.06418978626962353
avg_dev AtomicWeight,0.019087940899623804,0.06161856242491711
minimum Electronegativity,0.014308777327119392,0.05715099913330465
mean MendeleevNumber,0.00917642293422925,0.05690311640489473
mode MendeleevNumber,0.005905701750444994,0.05514377826042164
avg_dev NValence,0.019280652035777415,0.05224138904898318
range CovalentRadius,0.009129478652288662,0.050869013430599894
mean GSbandgap,0.005847698095953837,0.05058638890983708
maximum Number,0.014473467373377211,0.049839558887718335
mean NsValence,0.030090158791626756,0.04819270261728257
mean NUnfilled,0.013829209157693834,0.047811800114621036
mean NdUnfilled,0.008888938912291996,0.04662377073263353
maximum CovalentRadius,0.005360706670951434,0.04366259831466952
mode NUnfilled,0.013836618232718952,0.04236495423300795
avg_dev Number,0.012998871501938722,0.04227837140032663
maximum AtomicWeight,0.012290510828060638,0.041330113684060206
mode GSvolume_pa,0.0036185203070809454,0.040897675932922456
range GSvolume_pa,0.013450786827900942,0.038892851505055746
mean NfValence,0.01033947359331175,0.034279046479258383
mode Row,0.01086528677489827,0.03367994459496734
maximum GSbandgap,0.006141048709736429,0.03179734790524384
avg_dev MeltingT,0.00841213062380488,0.03132166730778846
maximum NValence,0.004472308427150709,0.03107283539361707
avg_dev NfValence,0.004506114878423901,0.02890511703633834
avg_dev GSbandgap,0.0034417798779712793,0.028889525483277546
mean GSvolume_pa,0.004759804893206862,0.02725990064498884
mode CovalentRadius,0.0025132267648522344,0.026640635368267874
avg f valence electrons,0.008725990295759807,0.025501826693033518
maximum MeltingT,0.006192194485314183,0.02462369038402245
mean CovalentRadius,0.0021651518901741325,0.024299194216168503
minimum AtomicWeight,0.016077382106483667,0.02274651174281917
avg_dev NpValence,0.005655935136855527,0.022330565656753704
range NValence,0.003292543951555954,0.022242161541813937
avg_dev Row,0.00404948028209903,0.02205934025113303
avg_dev SpaceGroupNumber,0.004383841097877714,0.020407383182579522
avg_dev NUnfilled,0.005430458252903228,0.019845929478496137
maximum Electronegativity,0.006794512236790756,0.01959171872559193
maximum MendeleevNumber,0.008394700117266694,0.018174412603271073
mean SpaceGroupNumber,0.003287494224446805,0.017880582551627056
range GSbandgap,0.0005742962855340031,0.01783409775800089
mode NfValence,0.004978166679057055,0.017412154309188736
mode NdUnfilled,0.0011965466149178885,0.015611384629823009
range AtomicWeight,0.005195701052111688,0.015186347704558768
avg p valence electrons,0.001903145519125688,0.014968452152868296
minimum NUnfilled,0.0031183617875940716,0.014583660231913485
avg_dev NdUnfilled,0.0016410016765865947,0.013382074997780198
mean NpValence,0.002294036476745467,0.012679435077032989
minimum MeltingT,0.0028477413582316973,0.012406418567043146
mode NsValence,0.0006153302664595787,0.012354600472312372
avg_dev GSvolume_pa,0.003976597532560651,0.01234073418933374
range Number,0.005768142046864416,0.011753341508865686
avg_dev NsValence,0.0033285839814118606,0.010956818658365751
range NfValence,0.0035022271333657777,0.010867616561886104
range NUnfilled,0.0018139953636577466,0.010802091183838182
maximum NfValence,0.0030544043483036213,0.010625032637555305
avg_dev Electronegativity,0.0011828675504497437,0.01049190759302715
mean GSmagmom,0.0024577459107929414,0.010473489395097317
avg_dev MendeleevNumber,0.0023424701224400344,0.010446351178668661
minimum Number,0.0028417526469833253,0.010200888186631457
range NdUnfilled,0.0007671219401875481,0.009859449654030707
minimum GSvolume_pa,0.002428320473388859,0.009475123325575926
range Column,0.0007804713745621568,0.009295278706301818
mean NpUnfilled,0.0032883117144860054,0.009015266881869405
avg ionic char,0.0017733571900580376,0.00866702758733533
range MendeleevNumber,0.0030646378489757003,0.008467531853976541
range Electronegativity,0.005211245416102743,0.008281259110188606
range NsValence,0.0031579495853615424,0.008016726702052845
max ionic char,0.004290802755360239,0.007991847762450962
maximum NUnfilled,0.0008925499841199901,0.007945398322991862
avg_dev CovalentRadius,0.0011895599539903424,0.0075953523377550415
maximum Column,0.00046643775455927085,0.007439787391553223
