feat_name,importance,totalImp
avg_dev Column,0.0379094096802075,0.2622037624729113
minimum CovalentRadius,0.04841093378736997,0.24625509911015492
mean GSbandgap,0.04262510797812155,0.171476876353433
minimum GSvolume_pa,0.02598202997205946,0.14816566326105077
avg_dev NdValence,0.02230050191843796,0.13761424107389295
avg_dev NpValence,0.03757633387286401,0.13458721456659362
mode MeltingT,0.008506252020219375,0.13449822985185056
mode NValence,0.021631193599276597,0.13126158584329034
avg_dev Electronegativity,0.02143420903358386,0.12797959417215615
mean GSmagmom,0.012073543936740021,0.12413752389843372
avg_dev GSmagmom,0.020589955729134805,0.12161509670573359
avg_dev Row,0.019639557108635745,0.11511485094855506
maximum GSbandgap,0.05074818902728542,0.10916221501839948
mean GSvolume_pa,0.02366575331869669,0.10694395651466752
mean CovalentRadius,0.01841041337252018,0.10122743698378198
avg_dev NValence,0.015362753669731201,0.09643913584322701
mean NpValence,0.035513206748989376,0.0917547493340656
avg_dev NpUnfilled,0.019812878477840083,0.09102991301967266
avg_dev Number,0.017377656895861092,0.08853206211011563
avg_dev CovalentRadius,0.022463709378659963,0.08806904642413459
mean NpUnfilled,0.02792998511379804,0.08330965045593183
mean Electronegativity,0.017782851591983312,0.08122923806365588
avg_dev SpaceGroupNumber,0.016769285762952345,0.07719773453212962
Yang delta,0.01080340392923257,0.07477909367242541
mean SpaceGroupNumber,0.008358654585500034,0.07426306508707588
mode Column,0.007929969215803818,0.0707942323099468
mean Column,0.01675965771599496,0.07032089654149637
mean NValence,0.017182231742029295,0.06887433162153346
mode Number,0.01401931211704655,0.06122760586509562
mean NsUnfilled,0.018473194354352154,0.0566821148663221
range Number,0.010750192282868339,0.055481867536127404
avg_dev MeltingT,0.008432281470540662,0.053422414065626256
mean NfValence,0.01013758173278776,0.052844491625947974
mean Number,0.008640698863034826,0.05281343563187101
mode GSvolume_pa,0.010383325740211065,0.05023203020639841
avg_dev NsUnfilled,0.010440117471003072,0.049185823836744844
mode Electronegativity,0.01067988080758508,0.04851636706705915
avg_dev MendeleevNumber,0.012012998294535665,0.04744260869703454
mean NUnfilled,0.006053507263172358,0.04530714746364737
mean MeltingT,0.006117254707759903,0.04318739625153378
maximum Number,0.009007374013554125,0.042836809130266607
mean NdValence,0.00589303490853123,0.04193906230841411
range CovalentRadius,0.004648339583280424,0.0415557267790186
maximum NValence,0.010102303509894259,0.03933275765005047
2-norm,0.00427853446093106,0.038855931837892516
avg_dev NdUnfilled,0.006425483900235344,0.035624341330386465
mean MendeleevNumber,0.007847037030358644,0.034441586622661335
mean NsValence,0.0074723550973181466,0.0334853644628223
range Electronegativity,0.007171394289561094,0.03281204087225395
avg_dev GSvolume_pa,0.006296470488322663,0.03083002728778707
range SpaceGroupNumber,0.009985208881054378,0.030823138264166272
avg_dev NsValence,0.005231979006153186,0.030348836338128894
minimum Number,0.007748469654574953,0.029776628447709227
avg_dev NUnfilled,0.00432152837226648,0.029239281290524808
minimum MendeleevNumber,0.007369582410489042,0.028935744215481632
mean abs simul. packing efficiency,0.007424907129142234,0.028869403423060366
mode MendeleevNumber,0.006929681045430637,0.027864256886820562
minimum SpaceGroupNumber,0.009624261521304654,0.027725320185204523
mode NUnfilled,0.0031420432634453464,0.02758582229073725
Yang omega,0.005718731135475083,0.02733920404118277
