feat_name,importance,totalImp
minimum CovalentRadius,0.06329661872668717,0.2640098181245101
avg_dev Column,0.03576154673051356,0.2504711345157502
mean GSbandgap,0.04976320143457546,0.22981944676090738
mode NValence,0.028227786356973282,0.1369443774369076
avg_dev Electronegativity,0.020222073001308245,0.1325516983643716
minimum GSvolume_pa,0.01612899902108596,0.1303198091331903
mean GSmagmom,0.014744759715123108,0.119073239058045
avg_dev NpValence,0.030906992076841392,0.1173226426134659
mean CovalentRadius,0.03644880959384542,0.1162529496249205
mode MeltingT,0.00868546307167933,0.11227608041925265
avg_dev Row,0.022848286415056873,0.11051798639104421
avg_dev NValence,0.014003983966288462,0.1075137460057973
avg_dev GSmagmom,0.015196854124689085,0.10622946136291668
avg_dev NdValence,0.013953377293870846,0.10573420718745316
avg_dev NpUnfilled,0.030677595683132493,0.09607479412244983
mean NValence,0.01552147160966786,0.09418352276300596
mean Electronegativity,0.009929525415284041,0.0932391640763479
maximum GSbandgap,0.025440929690694353,0.09292647130332518
avg_dev CovalentRadius,0.015740655064740615,0.09179491808863298
mean NpValence,0.03265545369613544,0.08704678705776281
avg_dev Number,0.016715696588879836,0.08551727257534192
avg_dev SpaceGroupNumber,0.02341964028082011,0.08361589620032933
mean SpaceGroupNumber,0.01449361250338933,0.07955395240951856
Yang delta,0.011536305234108639,0.07766477569914468
mean GSvolume_pa,0.015334341259573094,0.0719511825985157
mean Column,0.014666406022329987,0.06746454260775119
mean MeltingT,0.009589643288844913,0.0671731196469546
mean NsUnfilled,0.012688575010993925,0.06644251932525182
mode Number,0.017084691179268217,0.06140131261431989
mode Column,0.0051766396385233525,0.06027981233641107
mean NpUnfilled,0.016346449472243327,0.058249411247089766
mean NfValence,0.01595207107668817,0.056078539636364604
mode GSvolume_pa,0.009337903193498047,0.05492113693258863
range Number,0.012821416283203522,0.0529502155692328
avg_dev NsUnfilled,0.011883572977965544,0.050464621157331246
mean NUnfilled,0.007365203701415888,0.04962747055745212
maximum Number,0.008774844480155163,0.04815410701042662
mean Number,0.010184043478910824,0.04803667003575404
mean NdValence,0.005422032586787359,0.04538819115477149
avg_dev MendeleevNumber,0.01057800585645886,0.04520309815820352
range CovalentRadius,0.00701804926526561,0.04511975044633766
avg_dev NdUnfilled,0.008382858960246114,0.042865202853273394
avg_dev MeltingT,0.00831378321297225,0.04104454666243211
maximum GSmagmom,0.0060698916244714,0.037928042188354244
2-norm,0.009661254704494419,0.037437968276138385
range SpaceGroupNumber,0.01575278895871471,0.036805924822771494
avg_dev GSvolume_pa,0.010952791512846154,0.03627109158149183
maximum NValence,0.009356092572027947,0.03537285175507426
mean MendeleevNumber,0.010333542764494417,0.034662723292130576
maximum Electronegativity,0.013336945343527317,0.03300205952627121
mean abs simul. packing efficiency,0.00907355349899318,0.03275607807166088
mode Electronegativity,0.011900524666380207,0.032714977572367514
minimum MendeleevNumber,0.005205416410909388,0.03269033615457925
avg_dev NUnfilled,0.005839436569047444,0.03247260852676491
range Electronegativity,0.0047243738862557776,0.03141138242544086
mean NsValence,0.006126057973620671,0.0304187227896627
avg_dev NsValence,0.0049635417873485485,0.02831896481168572
minimum Number,0.0039207070186983075,0.027325975925831227
Yang omega,0.002983394590527434,0.025832098770135644
mode NdValence,0.0020316318704924445,0.023869574695267477
mode MendeleevNumber,0.0033083656756619506,0.023568813015607145
mean simul. packing efficiency,0.0059899078405432245,0.022698071689808662
dist from 5 clusters |APE| < 0.010,0.005344172082105627,0.02195649920903282
range MendeleevNumber,0.005529302233985697,0.021422322100443588
maximum NfValence,0.0049830155079228725,0.021142832103464883
minimum SpaceGroupNumber,0.010157650839278706,0.020828277841101972
mean NdUnfilled,0.004714231795089659,0.020663242383060443
mode NUnfilled,0.0029085610188801917,0.020641048220236508
minimum MeltingT,0.0010453124440880162,0.02040443367055405
dist from 3 clusters |APE| < 0.010,0.0029069869997270493,0.017966252820926513
minimum Electronegativity,0.002793482526443169,0.017736651257551108
dist from 1 clusters |APE| < 0.010,0.004718127700964847,0.01742968329063103
maximum MendeleevNumber,0.0011013987755713007,0.017082957465579404
minimum Column,0.002447113760103209,0.01680121916483057
maximum NdValence,0.0012257138066890862,0.016375993914489132
maximum CovalentRadius,0.0011585106291812652,0.016236639558254294
maximum GSvolume_pa,0.0028129882538190454,0.016077545250430415
mode CovalentRadius,0.003463460489679891,0.014694322059123193
range MeltingT,0.002803567003752121,0.014588004275206984
range Row,0.0021449822701531127,0.014173141047323708
maximum MeltingT,0.0020356042652754144,0.014110137150714706
minimum NUnfilled,0.0007495953681351296,0.010370475513268883
minimum NValence,0.0014960448963023554,0.008836089554657504
mode SpaceGroupNumber,0.0013835751238082334,0.008752821691551484
maximum NUnfilled,0.0014562525703554297,0.008586404903456971
maximum NdUnfilled,0.0017451244532941937,0.007352684481145946
range Column,0.0015161269318759206,0.006837408491113577
0-norm,0.0014959659510825104,0.0066578450495141505
maximum Column,0.00048653358992042873,0.006034377066128049
mode NdUnfilled,0.0012367534182913128,0.0058948278192706635
mode NsValence,0.0004732100923999052,0.005270638376620281
mean NfUnfilled,0.000719356880539365,0.004979708533931549
mode NsUnfilled,0.00040913996904886,0.004549662583537807
maximum NsUnfilled,0.0011865372647598257,0.003848447403723973
maximum NpUnfilled,0.0007437089735971767,0.0037202111419524925
range NsValence,0.0015202072597255859,0.003626647269233106
maximum NfUnfilled,0.0008528156686471601,0.0035240707224382857
maximum Row,0.000577367925239207,0.003216281391450186
maximum SpaceGroupNumber,0.0011101630212210782,0.002941039541921558
minimum NsValence,0.0007528638805190617,0.0026099394887849747
mode NpValence,0.0003314203174496214,0.0018538557935683852
minimum NdValence,0.0006466290484849639,0.001101101426606156
minimum NdUnfilled,4.6037482802362955e-05,7.632299249440019e-05
minimum GSmagmom,0.0,6.824477626661862e-08
