Compositions	Youngs_Modulus_GPa	Shear_Modulus_GPa	Bulk_Modulus_GPa	density
Se70Ge30	15.7	6.2	11.7	4.277
Zn20Ca20Sr20Yb20Li11Mg9	16	6.3	12	3.6
Zn20Ca20Sr20Yb20Li11Mg9	16	6.3	None	None
Sr60Li5Mg15Zn20	18.4	7.02	16.1	2.99
Mg81Cu9.3Y4.7Zn5	19.2	None	None	2.47
Ca20Mg20Zn20Sr20Yb20	19.4	7.6	15	None
Sr60Mg18Zn22	19.7	7.71	14.6	3.04
Sr60Li5Mg15Zn20	19.7	7.71	None	None
Sr60Mg20Zn15Cu5	19.9	7.76	15.3	3.04
Ca65Ag35	20	None	None	None
Ca65Ag35	20	None	None	None
Sr40Yb20Mg20Zn15Cu5	20.6	7.88	17.6	3.95
Ca65Mg15Zn20	22.3	None	None	2.063
Ca65Mg15Zn20	22.4	10.1	22.6	None
Sr20Ca20Yb20Mg20Zn20	22.8	8.89	17.5	3.56
Sr50Mg20Zn20Cu10	22.9	8.97	17.1	3.26
Ca65Mg8.31Li9.69Zn17	23.2	9	18.5	1.983
Ca65Mg8.31Li9.69Zn17	23.2	8.98	18.45	None
Ca65Li9.96Mg8.54Zn16.5	23.4	None	None	1.903
Ca65Mg8.54Li9.96Zn16.5	23.4	9	20.2	1.956
Ca65Li9.96Mg8.54Zn16.5	23.4	8.95	None	None
Ca65Li9.96Mg8.54Zn16.5	23.4	8.95	20.2	None
Ca65Mg8.54Li9.96Zn16.5	23.4	8.95	20.15	None
Ca65Li9.96Mg8.54Zn16.5	23.4	9	None	1.96
Ca65Mg15Zn20	26.42	None	None	None
Yb62.5Zn15Mg17.5Cu5	26.5	10.4	None	None
Yb62.5Zn15Mg17.5Cu5	26.5	10.4	19.8	None
Yb62.5Zn15Mg17.5Cu5	26.5	10.4	19.8	None
Yb62.5Zn15Mg17.5Cu5	26.5	10.4	19.78	None
Yb62.5Zn15Mg17.5Cu5	26.5	10.4	None	6.52
Yb62.5Zn15Mg17.5Cu5	26.5	10.4	19.8	6.516
Yb62.5Zn15Mg17.5Cu5	26.54	10.4	19.78	6.516
Ca55Mg25Cu20	27.98	10.81	22.6	2.221
Zn40Mg11Ca31Yb18	28.8	None	None	4.3
Zn40Mg11Ca31Yb18	28.8	None	None	None
(Cu50Zr43Al7)99Ge2	28.9	None	None	None
Ca48Mg27Cu25	29.8	12.2	18.8	2.4
Ce70Al10Cu20	29.9	11.3	29.2	6.699
Ce70Al10Cu20	29.9	11.3	None	6.7
Ce68Al10Cu20Co2	30.3	11.46	30.13	None
Ce68Al10Cu20Co2	30.3	11.4	None	6.81
Ce70Al10Ni10Cu10	30.3	11.5	27	6.67
Ce70Cu10Ni10Al10	30.3	11.5	None	None
Ce60Al20Cu10Ni10	30.3	None	None	None
Ce70Al100Ni10Cu10	30.3	11.5	27	6.67
Ce68Cu20Al10Nb2	30.3	11.5	None	None
(Ce10La90)68Al10Cu20Co2	30.38	11.18	35.77	6.303
(Ce40La60)68Al10Cu20Co2	30.4	11.2	34.4	6.447
(Ce20La80)Al10Cu20Co2	30.69	11.33	35.07	None
(Ce20La80)68Al10Cu20Co2	30.7	11.33	35.07	6.334
Ce69.8Al10Cu20Co0.2	30.8	11.5	31.2	6.733
Ce68Al10Cu20Fe2	30.8	11.8	31	None
Ce68Al10Cu20Fe2	30.8	11.8	31	None
Ce68Cu20Fe2Al10	30.8	11.8	None	None
Ce65Al10Ni10Cu10Nb5	30.9	11.6	29.8	6.759
Ca55Mg18Zn11Cu16	30.98	None	None	2.319
Ce68Al10Cu20Nb2	31	12	30.1	6.738
Ce68Al10Cu20Nb2	31	11.7	30.06	None
Ce68Cu20Nb2Al10	31	12	None	None
Ce69.5Al10Cu20Co0.5	31.1	11.6	31.3	6.744
(Ce80La20)68Al10Cu20Co2	31.1	11.6	31.79	6.694
(Ce80La20)68Al10Cu20Co2	31.1	11.6	31.79	None
Ce60Al29Ni10Cu10	31.2	None	None	None
(Ce50La50)Al10Cu20Co2	31.27	11.6	34.32	None
Ce68Al10Cu20Co2	31.3	11.8	30.3	6.752
Ce69Al10Cu20Co1	31.3	11.68	31.07	6.753
(Ce50La50)68Al10Cu20Co2	31.3	11.6	34.3	6.492
Ce68Al10Cu20Co2	31.3	11.8	30.33	None
Ce68Al10Cu20Co2	31.3	11.8	30.3	6.752
Ce68Al10Cu20Co2	31.35	11.8	None	None
(Ce30La70)68Al10Cu20Co2	31.4	11.61	35.3	6.418
Ce68Al10Cu20Co2	31.65	11.94	None	None
Ce68Al10Cu20Co2	31.71	11.98	None	None
(Ce70La80)68Al10Cu20Co2	31.8	11.9	32.9	6.653
(Ce20La80)68Al10Cu20Co2	31.8	11.9	32.63	None
Ce68Al10Cu20Co2	31.84	12.05	None	None
Ce68Al10Cu20Ni2	31.9	12	31.8	6.753
Ce68Al10Cu20Ni2	31.9	12	31.77	None
La68Al10Cu20Co2	32.68	12.02	38.77	6.21
Ce68Al10Cu20Fe2	32.8	12.3	31.6	6.74
Ca50Mg20Cu30	33.2	12.6	29	None
(Cu50Zr43Al7)99Ge1	34	None	None	None
La62Cu11.7Ag2.3Ni5Co5Al14	35	13	None	None
Mg70Zr30	35	None	None	None
La66Al14Ni10Cu10	35.7	None	None	None
La66Al14Cu10Ni10	35.7	13.4	34.9	None
La66Al14Cu10Ni10	35.7	13.4	34.9	None
La66Cu10Ni10Al14	35.7	13.4	None	None
La66Al14Cu10Ni10	35.72	13.44	34.91	6.038
(Ce0.72Cu0.28)90Al10	36.3	17.7	34.3	6.7
Nd60Al10Ni10Cu20	36.5	13.5	42.8	6.689
(Ce0.72Cu0.28)85Al10Fe5	36.9	13.9	35.7	6.747
Pr60Cu20Ni10Al10	37.17	13.64	45.18	6.9
Pr60Al10Ni10Cu20	37.2	13.6	45.2	None
Pr60Cu20Ni10Al10	37.2	13.6	45.2	6.9
Pr60Ni10Al10Cu20	37.2	13.6	None	None
(CaCu)75Mg25	37.4	14.4	31.1	3.149
(Ce0.72Cu0.28)75Al10Fe15	37.4	14.1	35.7	6.87
Ce60Al20Cu20	37.5	14.3	33.5	6.431
"La57.6Al17.5(Cu,Ni)24.9"	37.56	13.93	41.31	6.004
Pr60Al10Ni10Cu18Fe2	37.8	13.96	43.22	6.834
(CaCu)70Mg30	37.9	14.48	33.3	3.069
Ca57Mg19Cu24	38	None	None	2.237
Ca57Mg19Cu24	38	None	None	None
Ca57Mg19Cu24	38	None	None	None
Pr60Al10Ni10Cu16Fe4	38.06	14.09	42.56	6.833
Pr60Cu17Ni8Al15	38.36	14.15	44.26	6.548
Pr60Al10Ni10Cu14Fe6	38.61	14.29	43.21	6.804
La60Al20Co20	38.7	14.5	39.17	None
La60Al20Co20	38.74	14.51	39.17	6.267
Mg65Cu7.5Ni7.5Zn5Ag5Y10	39	None	None	None
Cu50Zr43Al7	40.6	None	None	None
La55Al25Co20	40.9	15.42	None	None
La55Al25Co20	40.9	15.42	39.34	None
La55Al25Co20	40.9	15.42	39.34	5.802
La55Al25Co20	40.91	15.41	39.35	5.802
La55Al25Cu10Ni5Co5	41.9	15.6	44.2	6
La55Cu10Ni5Co5Al25	41.9	15.6	None	None
Mg75Cu13.33Y6.6Zn5	42	None	None	None
Pr55Cu17Ni8Al20	42.97	16.14	42.32	6.426
Pr60Al10Ni10Cu12Fe8	44.98	16.75	47.71	6.814
Mg58.5Cu30.5Y2Gd9	45	None	None	3.96
Mg58Cu31Y3Gd8	45.2	None	None	3.93
Pd75.5Si16.5Ag8	45.7	None	None	None
Pr55Al25Co20	45.9	17.35	None	None
Pr55Al25Co20	45.9	17.4	43.5	6.373
Pr60Al10Ni10Cu10Fe10	45.91	17.18	46.63	6.807
Pr55Al25Co20	45.96	17.36	43.46	6.373
Mg46Li19Cu25Y10	46	None	None	2.94
Pr55Cu14.3Ni5.7Al25	46.2	17.24	48.16	6.355
La55Al25Co5Cu10Ni5	47	None	None	None
Mg64Ni21Nd15	47.4	17.9	44.8	3.7
Pr60Al10Ni10Cu5Fe15	47.4	17.88	45.29	6.788
Pr55Al12Fe30Cu3	47.6	18.2	41.4	None
Pr55Al12Fe30Cu3	47.61	18.2	41.38	6.615
Ce60Al15Ni15Cu10	48	18.7	36.6	6.669
Mg66Zn30Ca5	48	None	None	None
Mg66Zn30Ca4	48	None	None	2.9
Pr60Al10Ni10Cu2Fe18	48.89	18.69	42.51	6.8
Mg65Cu25Y10	49.1	18.9	41.36	None
Pr60Al10Ni10Fe20	49.84	19.16	41.63	6.8
(Mg65Cu25Gd10)97Ti3	50	19.1	44.1	3.811
Mg64Ni21Nd15	50	None	None	None
Mg75Cu15Gd10	50	None	None	None
Mg65Cu25Y10	50.1	18.9	None	3.28
Mg65Cu25Y5Gd5	50.6	19.7	39.1	None
Mg65Cu25Gd10	50.6	19.3	45.1	3.79
Mg65Cu25Gd10	50.6	None	None	None
(Mg65Cu25Gd10)99Sn1	50.8	19.4	44.9	3.881
Nd60Al10Fe20Co10	51	35.1	46.5	7.052
Mg65Cu25Tb10	51.3	19.6	44.7	3.98
Mg65Cu25Tb10	51.3	None	44.71	3.979
La55Al25Cu10Ni5Co5	51.6	None	None	None
Mg65Cu25Y8Gd2	51.7	20.1	39.85	None
(Mg65Cu25Gd10)95Ti5	51.8	19.8	44.6	3.936
(Mg65Cu25Gd10)97Sn3	52	19.9	45.42	4.027
Cu47.5Zr47.5Al5	52	None	None	None
Mg60Cu25Gd15	52.2	19.9	46.6	4.22
Mg65Cu25Y9Gd1	52.2	20.4	39.05	None
Mg60Cu25Gd15	52.2	19.9	46.6	4.22
Zr60Cu20Pd10Al10	52.2	None	None	None
(Mg65Cu25Gd10)99Ti1	52.3	19.9	47.8	3.94
(Mg65Cu25Gd10)99Ti1	52.3	19.9	47.8	3.94
Al17Co29Zr54	53	None	None	None
Al87Fe8.7Gd4.3	53	None	None	3.451
Mg58.5Cu30.5Y11	53.9	20.4	49.4	3.547
Mg60Cu25Gd10Zn5	54	20.6	46.7	4.062
Mg75Cu5Ni10Gd10	54	None	None	None
Nd60Fe20Al10Ni10	54.1	None	None	None
Nd60Fe20Co10Al10	54.1	20.7	54.1	None
Mg57Cu34Nd9	54.2	20.5	50.7	4.1
Mg57Cu31Y6.6Nd5.4	54.4	None	None	3.75
Mg57Cu31Y6.6Nd5.4	54.4	20.7	48.3	3.809
Mg58Cu27Y10Zn5	55.2	21.3	44.8	3.558
