Compositions	Youngs_Modulus_GPa	Shear_Modulus_GPa	Bulk_Modulus_GPa	density
Se70Ge30	15.7	6.2	11.7	4.277
Mg81Cu9.3Y4.7Zn5	19.2	None	None	2.47
Ca20Mg20Zn20Sr20Yb20	19.4	7.6	15	None
Sr60Mg18Zn22	19.7	7.71	14.6	3.04
Sr60Mg20Zn15Cu5	19.9	7.76	15.3	3.04
Sr40Yb20Mg20Zn15Cu5	20.6	7.88	17.6	3.95
Sr20Ca20Yb20Mg20Zn20	22.8	8.89	17.5	3.56
Sr50Mg20Zn20Cu10	22.9	8.97	17.1	3.26
Ca55Mg25Cu20	27.98	10.81	22.6	2.221
(Cu50Zr43Al7)99Ge2	28.9	None	None	None
Ca48Mg27Cu25	29.8	12.2	18.8	2.4
Ce70Al10Ni10Cu10	30.3	11.5	27	6.67
Ce70Cu10Ni10Al10	30.3	11.5	None	None
Ce60Al20Cu10Ni10	30.3	None	None	None
Ce70Al100Ni10Cu10	30.3	11.5	27	6.67
Ce68Cu20Al10Nb2	30.3	11.5	None	None
(Ce10La90)68Al10Cu20Co2	30.38	11.18	35.77	6.303
(Ce40La60)68Al10Cu20Co2	30.4	11.2	34.4	6.447
(Ce20La80)Al10Cu20Co2	30.69	11.33	35.07	None
Ce69.8Al10Cu20Co0.2	30.8	11.5	31.2	6.733
Ce68Cu20Fe2Al10	30.8	11.8	None	None
Ce65Al10Ni10Cu10Nb5	30.9	11.6	29.8	6.759
Ca55Mg18Zn11Cu16	30.98	None	None	2.319
Ce68Cu20Nb2Al10	31	12	None	None
Ce69.5Al10Cu20Co0.5	31.1	11.6	31.3	6.744
Ce60Al29Ni10Cu10	31.2	None	None	None
(Ce50La50)Al10Cu20Co2	31.27	11.6	34.32	None
Ce69Al10Cu20Co1	31.3	11.68	31.07	6.753
(Ce50La50)68Al10Cu20Co2	31.3	11.6	34.3	6.492
(Ce30La70)68Al10Cu20Co2	31.4	11.61	35.3	6.418
(Ce70La80)68Al10Cu20Co2	31.8	11.9	32.9	6.653
La68Al10Cu20Co2	32.68	12.02	38.77	6.21
Ca50Mg20Cu30	33.2	12.6	29	None
(Cu50Zr43Al7)99Ge1	34	None	None	None
