Composition,Cal. E (GPa),Cal. G (GPa),Cal. K (GPa),Cal. K/G,E (GPa),E/? (GPa cm3/g),Ec (GPa) Calculated by Eq. (8.2),Ec (GPa) Calculated by Eq. (8.3),Ec (GPa) Calculated by Eq. (8.4),G (GPa),G (GPa).1,G/K,Gc (kJ/m^2),Hv (GPa),K (GPa),K/G,Kc (MPa m^1/2),Tg (K),Tl (K),Tm (K),Trg,Tx (K),dK/dP,dc (mm),dvl/dP (km/s GPa),dvs/dP (km/s GPa),mk,mt,vl (km/s),vl/vs,vs (km/s),?E/E0,?E/E0 (%),?G/G0,?G/G0 (%),?K/K0,?K/K0 (%),?Vl/Vl0 (%),?Vs/Vs0 (%),?vl/vl0,?vs/vs0,??D/?D0,??/?0,??/?0 (%),??/?0,??/?0 (%),?av,?l,?s,?sla,?D (K),?,? (g/cm3),?f (GPa)
Zr41Ti14Cu12.5Ni10Be22.5,105.5,47.1,115,2.44,101.2,16.53,,,,37.4,,0.324,72,5.23,114.1,3.05,86,620,,,,,,,,,50,39,5.174,2.09,2.472,,,,,,,,,,,,,,,,,,,,326.8,0.352,6.125,1.8
Zr46.75Ti8.25Cu7.5Ni10Be27.5,103.9,47.6,113.7,2.39,100.5,16.7,113.6,85.8,103.9,37.2,,,,6.1,111.9,3.01,,623,,,,,,,,,44,34,5.182,2.08,2.487,,,,,,,,,,,,,,,,,,,,327.1,0.35,6.014,1.83
Zr45.4Ti9.6Cu10.15Ni8.6Be26.25,,,,,99.9,16.52,113,86.3,103.8,37,,,,,111.9,3.02,,,,,,,,,,,,,5.163,2.09,2.473,,,,,,,,,,,,,,,,,,,,325.6,0.35,6.048,
Zr65Al10Ni10Cu15,79.1,35.7,103.4,2.89,97.3,15.52,81.1,74,79.1,35.9,,,,5.6,112,3.12,,652,,,,,,,,,,35,5.05,2.11,2.393,,,,,,,,,,,,,,,,,,,,292.9,0.355,6.271,1.45
Zr52.5Al10Ni10Cu15Be12.5,,,,,97.2,15.41,,,,35.9,,,,,112,3.12,,,,,,,,,,,,,5.033,2.11,2.384,,,,,,,,,,,,,,,,,,,,306.6,0.355,6.295,
Zr57Nb5Cu15.4Ni12.6Al10,82.6,36.6,107.4,2.93,87.3,13.05,85.4,76.6,82.6,32,,0.297,7,5.9,107.7,3.37,27,687,,,,,,,,,,,4.74,2.17,2.186,,,,,,,,,,,,,,,,,,,,274.8,0.365,6.69,1.8
Zr57Nb5Cu15.4Ni12.6Al10,82.6,36.6,107.4,2.93,86.2,12.75,85.4,76.6,82.6,31.5,,0.297,7,5.9,110.9,3.53,27,687,,,,,,,,,,,4.755,2.2,2.157,,,,,,,,,,,,,,,,,,,,272.3,0.37,6.758,1.8
Zr50Al10Ni10Cu15Be15,,,,,104.1,16.5,,,,38.8,,,,,110.9,2.86,,,,,,,,,,,,,5.075,2.05,2.478,,,,,,,,,,,,,,,,,,,,321.5,0.343,6.311,
Zr61Cu17.3Ni12.8Al7.9Sn1,,,,,77.4,11.38,,,,28.2,,0.274,44,,102.6,3.64,46.2,665,,,,,,,,,,,4.539,2.23,2.035,,,,,,,,,,,,,,,,,,,,256.7,0.374,6.801,1.77
Zr55Al10Ni10Cu15Be10,,,,,93.7,14.62,,,,34.4,,,,,111.6,3.24,,,,,,,,,,,,,4.958,2.14,2.355,,,,,,,,,,,,,,,,,,,,296.9,0.36,6.408,
